uploads,subs,views,country,country_archive_date,country_url,category,cat_archive_date,cat_url,created_at,grade,sb_rank,subs_rank,vid_view_rank,country_rank,category_rank
1436.0,2590288.0,1404823824.0,CA,20190721131703,https://socialblade.com/youtube/top/country/ca,Autos,20190721131703,https://socialblade.com/youtube/top/category/autos,"Jan 20th, 2008",,,,,,
336.0,5550000.0,321278206.0,IN,20210826180417,https://socialblade.com/youtube/top/country/in,Autos,20210826180417,https://socialblade.com/youtube/top/category/autos,"Jun 29th, 2018",B+,"6,254th","2,631st","21,524th",389th,10th
3546.0,3208801.0,1308475455.0,DE,20190824000428,https://socialblade.com/youtube/top/country/de,People,20190824000428,https://socialblade.com/youtube/top/category/people,"Jun 10th, 2011",,,,,,
,,,,,,,,,,,,,,,
1327.0,2980000.0,675472520.0,US,20201203015639,https://socialblade.com/youtube/top/country/us,Autos,20201203015639,https://socialblade.com/youtube/top/category/autos,"Feb 3rd, 2013",B+,"18,938th","5,357th","6,909th","1,574th",26th
,,,,,,,,,,,,,,,
2010.0,2567775.0,976536722.0,US,20190721111900,https://socialblade.com/youtube/top/country/us,Autos,20190721111900,https://socialblade.com/youtube/top/category/autos,"May 17th, 2006",,,,,,
,,,,,,,,,,,,,,,
726.0,2040820.0,308805467.0,US,20181215030943,https://socialblade.com/youtube/top/country/us,Autos,20181215030943,https://socialblade.com/youtube/top/category/autos,"Jun 24th, 2011",,,,,,
285.0,2750000.0,388496499.0,RU,20200627164843,https://socialblade.com/youtube/top/country/ru,Autos,20200627164843,https://socialblade.com/youtube/top/category/autos,"Jan 13th, 2013",B,"67,950th","5,198th","11,129th",194th,27th
1070.0,2660000.0,566934625.0,CA,20201104213435,https://socialblade.com/youtube/top/country/ca,Autos,20201104213435,https://socialblade.com/youtube/top/category/autos,"Jan 24th, 2013",B+,"12,007th","6,129th","8,252nd",106th,32nd
2726.0,1768478.0,419783474.0,AE,20190524064051,https://socialblade.com/youtube/top/country/ae,Autos,20190524064051,https://socialblade.com/youtube/top/category/autos,"May 26th, 2009",,,,,,
,,,,,,,,,,,,,,,
293.0,2470000.0,502058061.0,RU,20200629071225,https://socialblade.com/youtube/top/country/ru,Autos,20200629071225,https://socialblade.com/youtube/top/category/autos,"Oct 2nd, 2016",B,"34,246th","6,089th","8,380th",231st,33rd
4713.0,2800000.0,1238472555.0,NL,20210812054024,https://socialblade.com/youtube/top/country/nl,Autos,20210812054024,https://socialblade.com/youtube/top/category/autos,"Mar 25th, 2010",B+,"7,789th","7,037th","4,569th",23rd,34th
3083.0,2700000.0,1191220425.0,ID,20210812201652,https://socialblade.com/youtube/top/country/id,Autos,20210812201652,https://socialblade.com/youtube/top/category/autos,"Sep 7th, 2011",B+,"7,846th","7,409th","4,778th",306th,36th
722.0,2650000.0,1334895851.0,RU,20210813031750,https://socialblade.com/youtube/top/country/ru,Autos,20210813031750,https://socialblade.com/youtube/top/category/autos,"Oct 3rd, 2010",B+,"7,553rd","7,584th","4,160th",284th,38th
323.0,2630000.0,593826129.0,ES,20210812181108,https://socialblade.com/youtube/top/country/es,Autos,20210812181108,https://socialblade.com/youtube/top/category/autos,"Oct 20th, 2011",B+,"17,359th","7,734th","10,847th",209th,39th
498.0,1466273.0,397715992.0,US,20190524064005,https://socialblade.com/youtube/top/country/us,Autos,20190524064005,https://socialblade.com/youtube/top/category/autos,"Apr 18th, 2014",,,,,,
257.0,912294.0,126982885.0,ID,20190627030216,https://socialblade.com/youtube/top/country/id,People,20190627030216,https://socialblade.com/youtube/top/category/people,"Jun 29th, 2008",,,,,,
413.0,2260000.0,159861587.0,,20211120152653,https://socialblade.com/youtube/top/country/,Autos,20211120152653,https://socialblade.com/youtube/top/category/autos,"May 6th, 2018",B,"308,650th","10,030th","45,495th",--,52nd
332.0,2460000.0,182579343.0,IN,20211120152703,https://socialblade.com/youtube/top/country/in,Autos,20211120152703,https://socialblade.com/youtube/top/category/autos,"Jun 17th, 2018",B,"96,349th","9,000th","40,468th","1,273rd",46th
3702.0,1771601.0,627331087.0,GB,20190721114003,https://socialblade.com/youtube/top/country/gb,Autos,20190721114003,https://socialblade.com/youtube/top/category/autos,"Jul 7th, 2006",,,,,,
1469.0,2210000.0,598455286.0,US,20201124091450,https://socialblade.com/youtube/top/country/us,Autos,20201124091450,https://socialblade.com/youtube/top/category/autos,"Jan 13th, 2012",B,"80,787th","8,078th","7,877th","2,255th",41st
785.0,3020000.0,556408934.0,MX,20211120152721,https://socialblade.com/youtube/top/country/mx,People,20211120152721,https://socialblade.com/youtube/top/category/people,"Dec 12th, 2011",B+,"7,742nd","6,747th","12,613th",237th,671st
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
3898.0,2250000.0,1245169008.0,NL,20210812205828,https://socialblade.com/youtube/top/country/nl,Autos,20210812205828,https://socialblade.com/youtube/top/category/autos,"May 1st, 2006",B+,"14,886th","9,518th","4,521st",39th,48th
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
